# Input file for fr-burgers-turbulent.py program
N                   -1 # Number of mesh points
NX                  11 # Number of mesh points in X
NY                  11 # Number of mesh points in Y
NREF                 0 # Number of refinement levels of the mesh
P                    2 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.010000 # Viscosity
INISOL    TAYLOR_GREEN # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000100 # Time step
TSIM          0.100000 # Maximum number of iterations
NDUMP              500 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
0.000000000000000e+00 0.000000000000000e+00 1.254814153833425e-01 -3.954106751469311e-02
3.500000000000000e-01 2.000000000000000e-01 6.161733970358680e-01 -3.493315230733842e-01

4.000000000000000e-01 2.000000000000000e-01 6.833405783821949e-01 -2.725729693138993e-01

4.000000000000000e-01 1.000000000000000e-01 8.650193838958170e-01 -1.539040221523607e-01

4.500000000000000e-01 1.000000000000000e-01 9.135771867196684e-01 -1.169612610821823e-01

5.000000000000000e-01 1.000000000000000e-01 9.403081316489434e-01 -8.878709811460926e-02

4.000000000000000e-01 1.500000000000000e-01 8.104042890045877e-01 -2.353248815575480e-01

4.500000000000000e-01 1.500000000000000e-01 8.546509796135144e-01 -1.773952672570176e-01

5.000000000000000e-01 1.500000000000000e-01 8.739779855275255e-01 -1.293472392267486e-01

4.000000000000000e-01 2.000000000000000e-01 6.792721681048366e-01 -2.843406942111026e-01

4.500000000000000e-01 2.000000000000000e-01 7.302004856167421e-01 -2.088769310202269e-01

5.000000000000000e-01 2.000000000000000e-01 7.600899412070570e-01 -1.472680087439323e-01

5.000000000000000e-01 1.000000000000000e-01 9.416149651966026e-01 -8.171145248859173e-02

5.500000000000000e-01 1.000000000000000e-01 9.537737027752381e-01 -4.136321645561703e-02

6.000000000000001e-01 1.000000000000000e-01 9.590671904713673e-01 1.482581741538451e-02

5.000000000000000e-01 1.500000000000000e-01 8.762231550948468e-01 -1.194306192683672e-01

5.500000000000000e-01 1.500000000000000e-01 8.775665871133692e-01 -5.407276677780105e-02

6.000000000000001e-01 1.500000000000000e-01 8.609120159779882e-01 3.568584033165259e-02

5.000000000000000e-01 2.000000000000000e-01 7.634605034714977e-01 -1.332935320460144e-01

5.500000000000000e-01 2.000000000000000e-01 7.813382684836578e-01 -5.273109693306608e-02

6.000000000000001e-01 2.000000000000000e-01 7.904454077165379e-01 5.819143452697717e-02

6.000000000000001e-01 1.000000000000000e-01 9.568434562062116e-01 6.818379120540647e-03

6.500000000000001e-01 1.000000000000000e-01 9.312737258317384e-01 5.374608714150629e-02

7.000000000000001e-01 1.000000000000000e-01 8.625728711511698e-01 8.874404133730682e-02

6.000000000000001e-01 1.500000000000000e-01 8.586759114452432e-01 2.307874158510851e-02

6.500000000000001e-01 1.500000000000000e-01 8.145468128266607e-01 9.861734372649769e-02

7.000000000000001e-01 1.500000000000000e-01 7.408426907293634e-01 1.496285593821487e-01

6.000000000000001e-01 2.000000000000000e-01 7.858247414706726e-01 4.114859396922977e-02

6.500000000000001e-01 2.000000000000000e-01 7.651313700978363e-01 1.356232659386848e-01

7.000000000000001e-01 2.000000000000000e-01 7.056030796852669e-01 2.026622985298516e-01

7.000000000000001e-01 1.000000000000000e-01 8.641538256005236e-01 9.731530276921083e-02

7.500000000000000e-01 1.000000000000000e-01 7.546184753766663e-01 1.534341214426103e-01

8.000000000000000e-01 1.000000000000000e-01 6.114497650170049e-01 2.317282646329734e-01

7.000000000000001e-01 1.500000000000000e-01 7.445378805602099e-01 1.645555822454452e-01

7.500000000000000e-01 1.500000000000000e-01 6.579570590105748e-01 2.361173231351138e-01

8.000000000000000e-01 1.500000000000000e-01 5.605193111930566e-01 3.382012837320189e-01

7.000000000000001e-01 2.000000000000000e-01 7.103141360096611e-01 2.216509377407218e-01

7.500000000000000e-01 2.000000000000000e-01 6.265105763705154e-01 3.165690837619058e-01

8.000000000000000e-01 2.000000000000000e-01 5.242199504319515e-01 4.479384794900941e-01

8.000000000000000e-01 1.000000000000000e-01 6.138615461590043e-01 2.156309310585661e-01

8.500000000000001e-01 1.000000000000000e-01 4.552808758805597e-01 2.566043147908915e-01

9.000000000000000e-01 1.000000000000000e-01 2.859480443741590e-01 2.515877138151228e-01

8.000000000000000e-01 1.500000000000000e-01 5.568287250888340e-01 3.143311491663474e-01

8.500000000000001e-01 1.500000000000000e-01 4.281327645429745e-01 3.709616829659180e-01

9.000000000000000e-01 1.500000000000000e-01 2.692314480586093e-01 3.620997330912789e-01

8.000000000000000e-01 2.000000000000000e-01 5.218929135088564e-01 4.159795154454257e-01

8.500000000000001e-01 2.000000000000000e-01 3.960751866822492e-01 4.892139139721223e-01

9.000000000000000e-01 2.000000000000000e-01 2.477170038678567e-01 4.794114011465263e-01

9.000000000000000e-01 1.000000000000000e-01 2.963981592204544e-01 2.821909003288250e-01

9.500000000000000e-01 1.000000000000000e-01 1.609110023676339e-01 3.034725010993092e-01

1.000000000000000e+00 1.000000000000000e-01 4.955745577926908e-02 3.587312733742813e-01

9.000000000000000e-01 1.500000000000000e-01 2.872518189002384e-01 4.070177967637059e-01

9.500000000000000e-01 1.500000000000000e-01 1.595655166365645e-01 4.356347566536265e-01

1.000000000000000e+00 1.500000000000000e-01 5.291775023157005e-02 5.243676482974997e-01

9.000000000000000e-01 2.000000000000000e-01 2.648679945183901e-01 5.392423733043150e-01

9.500000000000000e-01 2.000000000000000e-01 1.469315286382599e-01 5.699932061096178e-01

1.000000000000000e+00 2.000000000000000e-01 4.996467892592275e-02 6.828506678018482e-01

0.000000000000000e+00 2.000000000000000e-01 1.171189122804919e-01 -3.188006279372799e-01

5.000000000000000e-02 2.000000000000000e-01 1.293169649914406e-01 -5.831893558118137e-01

1.000000000000000e-01 2.000000000000000e-01 2.640770156587318e-01 -4.031579588086870e-01

0.000000000000000e+00 2.500000000000000e-01 9.500852541138108e-02 -4.499308392479363e-01

5.000000000000000e-02 2.500000000000000e-01 9.822803540116787e-02 -7.056323292052487e-01

1.000000000000000e-01 2.500000000000000e-01 2.084316527503673e-01 -5.310531473308849e-01

0.000000000000000e+00 3.000000000000000e-01 7.234032316401511e-02 -5.990814402932634e-01

5.000000000000000e-02 3.000000000000000e-01 7.093524944093946e-02 -8.251515418328252e-01

1.000000000000000e-01 3.000000000000000e-01 1.540233026118067e-01 -6.740657567572096e-01

1.000000000000000e-01 2.000000000000000e-01 2.166818073601727e-01 -6.148603247957303e-01

1.500000000000000e-01 2.000000000000000e-01 3.179378665565203e-01 -5.565528163740074e-01

2.000000000000000e-01 2.000000000000000e-01 4.228203263493163e-01 -5.221502525527382e-01

1.000000000000000e-01 2.500000000000000e-01 1.582304793185018e-01 -7.589918508909173e-01

1.500000000000000e-01 2.500000000000000e-01 2.420593438876885e-01 -6.629215195292448e-01

2.000000000000000e-01 2.500000000000000e-01 3.233320433444809e-01 -6.303769304486796e-01

1.000000000000000e-01 3.000000000000000e-01 1.070738675027720e-01 -8.835226412443214e-01

1.500000000000000e-01 3.000000000000000e-01 1.767302312792550e-01 -7.607361729890101e-01

2.000000000000000e-01 3.000000000000000e-01 2.364530913123309e-01 -7.267713882574788e-01

2.000000000000000e-01 2.000000000000000e-01 4.175010020122745e-01 -5.198347324754085e-01

2.500000000000000e-01 2.000000000000000e-01 5.099596926535294e-01 -4.721627803157036e-01

3.000000000000000e-01 2.000000000000000e-01 5.894130526468145e-01 -4.254147993198952e-01

2.000000000000000e-01 2.500000000000000e-01 3.209772789101415e-01 -6.118936252322575e-01

2.500000000000000e-01 2.500000000000000e-01 3.966610177834156e-01 -5.521431586329748e-01

3.000000000000000e-01 2.500000000000000e-01 4.645097022091007e-01 -4.879025951885196e-01

2.000000000000000e-01 3.000000000000000e-01 2.386259201523275e-01 -6.906615402094942e-01

2.500000000000000e-01 3.000000000000000e-01 2.996656092007722e-01 -6.226086566183986e-01

3.000000000000000e-01 3.000000000000000e-01 3.562411084802976e-01 -5.383865414698296e-01

3.000000000000000e-01 2.000000000000000e-01 5.925360583783519e-01 -4.187440789904535e-01

3.500000000000000e-01 2.000000000000000e-01 6.617062667889473e-01 -3.628710516587132e-01

4.000000000000000e-01 2.000000000000000e-01 7.251790618543790e-01 -2.846336379680393e-01

3.000000000000000e-01 2.500000000000000e-01 4.668675304429691e-01 -4.831306374464138e-01

3.500000000000000e-01 2.500000000000000e-01 5.282752930958714e-01 -4.108825585693295e-01

4.000000000000000e-01 2.500000000000000e-01 5.878213783287878e-01 -3.173566710194373e-01

3.000000000000000e-01 3.000000000000000e-01 3.582982151686204e-01 -5.379196368784264e-01

3.500000000000000e-01 3.000000000000000e-01 4.114102103769535e-01 -4.477656715860445e-01

4.000000000000000e-01 3.000000000000000e-01 4.655584034934170e-01 -3.406397279854251e-01

4.000000000000000e-01 2.000000000000000e-01 7.201439966352727e-01 -2.956751533988196e-01

