# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                    TRUE
SGS_MODEL_TYPE  smagorinsky_dynamic
SGS_FILTER_RATIO            2.00
SGS_AVG_TYPE             global
SGS_CS_MIN               0.0100

BEGIN_SOLUTION
1.635220125786164e-01 9.993004330300064e-01
1.652603346053461e-01 1.001006369551657e+00
1.680729987279873e-01 1.003385849596373e+00
1.698113207547170e-01 1.003479047153754e+00
1.698113207547170e-01 1.003646494687771e+00
1.715496427814467e-01 1.001884820854698e+00
1.743623069040879e-01 9.988770060713403e-01
1.761006289308176e-01 9.984462323892356e-01
1.761006289308176e-01 9.982132600354631e-01
1.778389509575473e-01 9.988489191365154e-01
1.806516150801886e-01 9.977283535892517e-01
1.823899371069183e-01 9.967729107908773e-01
1.823899371069183e-01 9.966831664600536e-01
1.841282591336479e-01 9.971152689105471e-01
1.869409232562892e-01 9.992170787120598e-01
1.886792452830189e-01 1.000170812483536e+00
1.886792452830189e-01 1.000261466534151e+00
1.904175673097486e-01 1.000777082162393e+00
1.932302314323898e-01 1.002610751769520e+00
1.949685534591195e-01 1.003948304742989e+00
1.949685534591195e-01 1.003984683285616e+00
1.967068754858492e-01 1.004877832802215e+00
1.995195396084904e-01 1.005813888863123e+00
2.012578616352201e-01 1.006292692844972e+00
2.012578616352201e-01 1.006160161511529e+00
2.029961836619498e-01 1.006462115689254e+00
2.058088477845911e-01 1.004727387908995e+00
2.075471698113208e-01 1.003167690827381e+00
2.075471698113208e-01 1.003131915503203e+00
2.092854918380505e-01 1.002353465114278e+00
2.120981559606917e-01 1.002419580755296e+00
2.138364779874214e-01 1.002529648804229e+00
2.138364779874214e-01 1.002481631185557e+00
2.155748000141511e-01 1.002492372756626e+00
2.183874641367923e-01 1.001867533983389e+00
2.201257861635220e-01 1.000951872872930e+00
2.201257861635220e-01 1.001044519197884e+00
2.218641081902517e-01 1.000013165732776e+00
2.246767723128930e-01 9.997090195678986e-01
2.264150943396226e-01 9.995400107823397e-01
2.264150943396226e-01 9.995569875028811e-01
2.281534163663523e-01 9.985474271007688e-01
2.309660804889936e-01 9.961256006304535e-01
2.327044025157233e-01 9.953857928648328e-01
2.327044025157233e-01 9.952950517382541e-01
2.344427245424530e-01 9.957889443609753e-01
2.372553886650942e-01 9.971166116913973e-01
2.389937106918239e-01 9.977102420679973e-01
2.389937106918239e-01 9.978210846879537e-01
2.407320327185536e-01 9.983091144964910e-01
2.435446968411948e-01 1.000740010621190e+00
2.452830188679245e-01 1.002740751227329e+00
2.452830188679245e-01 1.002606984639445e+00
2.470213408946542e-01 1.004167960292963e+00
2.498340050172955e-01 1.003686294217216e+00
2.515723270440252e-01 1.002648899170544e+00
2.515723270440252e-01 1.002649027276524e+00
2.533106490707548e-01 1.002281567852279e+00
2.561233131933961e-01 1.003478358248057e+00
2.578616352201258e-01 1.004808293862085e+00
2.578616352201258e-01 1.004660240384916e+00
2.595999572468555e-01 1.006223105376577e+00
2.624126213694967e-01 1.006678489771623e+00
2.641509433962264e-01 1.005448430029334e+00
2.641509433962264e-01 1.005610060363540e+00
2.658892654229561e-01 1.003901216816938e+00
2.687019295455974e-01 1.003752305247766e+00
2.704402515723270e-01 1.004701644999616e+00
2.704402515723270e-01 1.004661423719785e+00
2.721785735990567e-01 1.005480993860991e+00
2.749912377216980e-01 1.005127365660551e+00
2.767295597484277e-01 1.003718174724554e+00
2.767295597484277e-01 1.003925314794620e+00
2.784678817751574e-01 1.001691825420783e+00
2.812805458977986e-01 9.998938546225860e-01
2.830188679245283e-01 9.996445706076634e-01
2.830188679245283e-01 9.996107842635130e-01
2.847571899512580e-01 9.987897235301297e-01
2.875698540738992e-01 9.958035442911833e-01
2.893081761006289e-01 9.949290039163244e-01
2.893081761006289e-01 9.947292852765678e-01
2.910464981273586e-01 9.957061195304364e-01
2.938591622499999e-01 9.968243233930100e-01
2.955974842767295e-01 9.965553491290017e-01
2.955974842767295e-01 9.965900154884424e-01
2.973358063034592e-01 9.960964677336307e-01
3.001484704261005e-01 9.957874152519604e-01
3.018867924528302e-01 9.952147984009760e-01
3.018867924528302e-01 9.954166294739111e-01
3.036251144795599e-01 9.940651025132486e-01
3.064377786022012e-01 9.938171269499092e-01
3.081761006289309e-01 9.950408730833374e-01
3.081761006289309e-01 9.947903404210843e-01
3.099144226556605e-01 9.961038096185030e-01
3.127270867783018e-01 9.943513657656774e-01
3.144654088050315e-01 9.929356689075042e-01
3.144654088050315e-01 9.928292135023865e-01
3.162037308317612e-01 9.934392324024595e-01
3.190163949544024e-01 9.963944922725755e-01
3.207547169811321e-01 9.973363336203147e-01
3.207547169811321e-01 9.974183015839667e-01
3.224930390078618e-01 9.971299070820724e-01
3.253057031305031e-01 9.960471174719107e-01
3.270440251572327e-01 9.945844078007972e-01
3.270440251572327e-01 9.948486513591468e-01
3.287823471839624e-01 9.923201392499292e-01
3.315950113066037e-01 9.909977736818041e-01
3.333333333333334e-01 9.923826717716766e-01
3.333333333333334e-01 9.922286922116930e-01
3.350716553600631e-01 9.942564728851802e-01
3.378843194827043e-01 9.951682941988534e-01
3.396226415094340e-01 9.951160759455066e-01
3.396226415094340e-01 9.950766920641551e-01
3.413609635361637e-01 9.955756685668513e-01
3.441736276588049e-01 9.970599488685282e-01
3.459119496855346e-01 9.981304321845874e-01
3.459119496855346e-01 9.981658214680461e-01
3.476502717122643e-01 9.993878269609178e-01
3.504629358349056e-01 1.001950868363878e+00
3.522012578616353e-01 1.003301983095210e+00
3.522012578616353e-01 1.003266042105241e+00
3.539395798883649e-01 1.003932511914472e+00
3.567522440110062e-01 1.003124240033442e+00
3.584905660377359e-01 1.002005802591709e+00
3.584905660377359e-01 1.002099978527154e+00
3.602288880644656e-01 1.000966184173034e+00
3.630415521871068e-01 1.000792336655697e+00
3.647798742138365e-01 1.001582072706083e+00
3.647798742138365e-01 1.001425503525381e+00
3.665181962405662e-01 1.002354673127754e+00
3.693308603632074e-01 1.000950928866881e+00
3.710691823899371e-01 9.986208927931349e-01
3.710691823899371e-01 9.988033988380515e-01
3.728075044166668e-01 9.961877060688424e-01
3.756201685393081e-01 9.951134713517565e-01
3.773584905660378e-01 9.962505898468237e-01
3.773584905660378e-01 9.959147104521857e-01
3.790968125927675e-01 9.974424001879616e-01
