# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
1.006289308176101e-01 9.996231309360927e-01
1.006289308176101e-01 9.996034430663363e-01
1.023672528443398e-01 9.985802603696079e-01
1.051799169669810e-01 9.966444041801530e-01
1.069182389937107e-01 9.954937799707430e-01
1.069182389937107e-01 9.955281168574196e-01
1.086565610204404e-01 9.946521651522144e-01
1.114692251430816e-01 9.944601145542983e-01
1.132075471698113e-01 9.949392501082537e-01
1.132075471698113e-01 9.949203488331667e-01
1.149458691965410e-01 9.955944968275247e-01
1.177585333191823e-01 9.964349371545914e-01
1.194968553459120e-01 9.967065323445202e-01
1.194968553459120e-01 9.966964453827728e-01
1.212351773726416e-01 9.967901060309461e-01
1.240478414952829e-01 9.964208054438954e-01
1.257861635220126e-01 9.958476914143793e-01
1.257861635220126e-01 9.958673358413472e-01
1.275244855487423e-01 9.950841774479691e-01
1.303371496713835e-01 9.941417217299947e-01
1.320754716981132e-01 9.941069448107031e-01
1.320754716981132e-01 9.941067723786372e-01
1.338137937248429e-01 9.946107123677466e-01
1.366264578474841e-01 9.961074539377380e-01
1.383647798742138e-01 9.970248355865484e-01
1.383647798742138e-01 9.970058935607056e-01
1.401031019009435e-01 9.976382771654807e-01
1.429157660235848e-01 9.977323359565693e-01
1.446540880503145e-01 9.973522038346054e-01
1.446540880503145e-01 9.973650405084181e-01
1.463924100770441e-01 9.968278709727207e-01
1.492050741996854e-01 9.961484860354711e-01
1.509433962264151e-01 9.959936865625347e-01
1.509433962264151e-01 9.959919663549961e-01
1.526817182531448e-01 9.960889383865633e-01
1.554943823757861e-01 9.967106290089592e-01
1.572327044025157e-01 9.973461942103229e-01
1.572327044025157e-01 9.973541730220093e-01
1.589710264292454e-01 9.981594290601015e-01
1.617836905518867e-01 9.998988862915963e-01
1.635220125786164e-01 1.001203735123701e+00
1.635220125786164e-01 1.001192770841152e+00
1.652603346053461e-01 1.002599383349577e+00
1.680729987279873e-01 1.004605429695994e+00
1.698113207547170e-01 1.005456995193808e+00
1.698113207547170e-01 1.005460925597613e+00
1.715496427814467e-01 1.005923301842015e+00
1.743623069040879e-01 1.006113102009623e+00
1.761006289308176e-01 1.006086803673511e+00
1.761006289308176e-01 1.006076656352130e+00
1.778389509575473e-01 1.006059596968481e+00
1.806516150801886e-01 1.005947109009378e+00
1.823899371069183e-01 1.005848827691532e+00
1.823899371069183e-01 1.005871952862047e+00
1.841282591336479e-01 1.005820290550100e+00
1.869409232562892e-01 1.006406893290313e+00
1.886792452830189e-01 1.007280952739439e+00
1.886792452830189e-01 1.007264122234165e+00
1.904175673097486e-01 1.008473417893617e+00
1.932302314323898e-01 1.010348092479537e+00
1.949685534591195e-01 1.011067538003781e+00
1.949685534591195e-01 1.011065228797958e+00
1.967068754858492e-01 1.011278918778723e+00
1.995195396084904e-01 1.010890509046182e+00
2.012578616352201e-01 1.010608367590119e+00
2.012578616352201e-01 1.010626796902074e+00
2.029961836619498e-01 1.010581125307050e+00
2.058088477845911e-01 1.011121684491317e+00
2.075471698113208e-01 1.011488688459986e+00
2.075471698113208e-01 1.011455508324911e+00
2.092854918380505e-01 1.011555810251434e+00
2.120981559606917e-01 1.010778506049245e+00
2.138364779874214e-01 1.010118493385765e+00
2.138364779874214e-01 1.010158737039878e+00
2.155748000141511e-01 1.009758504578511e+00
2.183874641367923e-01 1.010379689363795e+00
