# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
1.006289308176101e-01 9.969368911314916e-01
1.006289308176101e-01 9.969370894154113e-01
1.023672528443398e-01 9.968252310788112e-01
1.051799169669810e-01 9.965912128997850e-01
1.069182389937107e-01 9.964179285530789e-01
1.069182389937107e-01 9.964180858097400e-01
1.086565610204404e-01 9.962246325604360e-01
1.114692251430816e-01 9.958676275221321e-01
1.132075471698113e-01 9.956151424606045e-01
1.132075471698113e-01 9.956142419777610e-01
1.149458691965410e-01 9.953338846598535e-01
1.177585333191823e-01 9.948082721135321e-01
1.194968553459120e-01 9.944417885698646e-01
1.194968553459120e-01 9.944411370052874e-01
1.212351773726416e-01 9.940509337178737e-01
1.240478414952829e-01 9.934042467921957e-01
1.257861635220126e-01 9.930301837928692e-01
1.257861635220126e-01 9.930314898018500e-01
1.275244855487423e-01 9.927057323083915e-01
1.303371496713835e-01 9.923512914036338e-01
1.320754716981132e-01 9.922664465416751e-01
1.320754716981132e-01 9.922675055492541e-01
1.338137937248429e-01 9.922979778788550e-01
1.366264578474841e-01 9.925985901380333e-01
1.383647798742138e-01 9.929260410660025e-01
1.383647798742138e-01 9.929260176381695e-01
1.401031019009435e-01 9.933460236177212e-01
1.429157660235848e-01 9.941771441751699e-01
1.446540880503145e-01 9.947554721414199e-01
1.446540880503145e-01 9.947551043237962e-01
1.463924100770441e-01 9.953612998322685e-01
1.492050741996854e-01 9.963564654105567e-01
1.509433962264151e-01 9.969576924782950e-01
1.509433962264151e-01 9.969572869488795e-01
1.526817182531448e-01 9.975329765484526e-01
1.554943823757861e-01 9.983826138838574e-01
1.572327044025157e-01 9.988460578751418e-01
1.572327044025157e-01 9.988459322480185e-01
1.589710264292454e-01 9.992561143881545e-01
1.617836905518867e-01 9.997999337143602e-01
1.635220125786164e-01 1.000060620604969e+00
1.635220125786164e-01 1.000060986643601e+00
1.652603346053461e-01 1.000263179365676e+00
1.680729987279873e-01 1.000465855218248e+00
1.698113207547170e-01 1.000508682882891e+00
1.698113207547170e-01 1.000508384218235e+00
1.715496427814467e-01 1.000482006538007e+00
1.743623069040879e-01 1.000269063371889e+00
1.761006289308176e-01 1.000018206868282e+00
1.761006289308176e-01 1.000016474838747e+00
1.778389509575473e-01 9.996673168867279e-01
1.806516150801886e-01 9.988814759267123e-01
1.823899371069183e-01 9.982758090160366e-01
1.823899371069183e-01 9.982757417983338e-01
1.841282591336479e-01 9.976007576734096e-01
1.869409232562892e-01 9.964409263505890e-01
1.886792452830189e-01 9.957394822618311e-01
1.886792452830189e-01 9.957413930673695e-01
1.904175673097486e-01 9.950932171829209e-01
1.932302314323898e-01 9.942413956018181e-01
1.949685534591195e-01 9.938614097977038e-01
1.949685534591195e-01 9.938620253860215e-01
1.967068754858492e-01 9.936022213389144e-01
1.995195396084904e-01 9.934281203152941e-01
2.012578616352201e-01 9.934548510841074e-01
2.012578616352201e-01 9.934545214718697e-01
2.029961836619498e-01 9.935677047610202e-01
2.058088477845911e-01 9.938952384951809e-01
2.075471698113208e-01 9.941669484973777e-01
2.075471698113208e-01 9.941667703481859e-01
2.092854918380505e-01 9.944781151742025e-01
2.120981559606917e-01 9.950428940152423e-01
